pair_idx,of_time_ms,tm_time_ms,of_mean_intensity,tm_mean_intensity,mse,mae,correlation,of_motion_coverage,tm_motion_coverage
33,23.73989999614423,3.223600004275795,0.10200954228639603,0.06440404057502747,0.03149662911891937,0.10396752506494522,0.6295422509671924,0.22527777777777777,0.09166666666666666
34,21.986699997796677,3.951899998355657,0.09982611984014511,0.0242408886551857,0.04140161722898483,0.1061578169465065,0.16744007563650015,0.17428819444444443,0.06111111111111111
35,23.007399999187328,3.3752000017557293,0.11401716619729996,0.09159566462039948,0.048870909959077835,0.12863120436668396,0.5719153604682893,0.31472222222222224,0.10694444444444444
36,27.833000000100583,3.0073999951127917,0.100726418197155,0.044762447476387024,0.034616198390722275,0.09810981154441833,0.38813536332584164,0.18239583333333334,0.12222222222222222
37,21.531899998080917,3.253199996834155,0.11436633765697479,0.05024638772010803,0.030248908326029778,0.10898977518081665,0.5111315710423449,0.3301736111111111,0.09166666666666666
38,26.390999999421183,3.4858999933931045,0.1085289791226387,0.06881222128868103,0.02343401126563549,0.10112932324409485,0.7516203261382138,0.31171875,0.10694444444444444
39,24.423300004855264,3.049099999770988,0.1799984723329544,0.061323944479227066,0.05015206336975098,0.16779294610023499,0.3605753402570779,0.61875,0.1375
40,24.530599999707192,5.0821999975596555,0.210601806640625,0.0746413841843605,0.0504462905228138,0.17950743436813354,0.5474318350467082,0.7026736111111112,0.1375
41,24.315299997397233,4.828899996937253,0.1926874816417694,0.031511448323726654,0.07101791352033615,0.19291310012340546,0.2091384936366377,0.6061631944444444,0.030555555555555555
42,25.428399996599182,3.275000002759043,0.1782340556383133,0.058489855378866196,0.05494214966893196,0.1740015149116516,0.36496606180183183,0.6191840277777778,0.10694444444444444
43,28.156100001069717,3.3115999976871535,0.11987179517745972,0.05549584701657295,0.019476382061839104,0.09637295454740524,0.7674493492880519,0.32133680555555555,0.09166666666666666
44,20.707000003312714,2.9786000013700686,0.1194000095129013,0.09835495054721832,0.030105257406830788,0.11225374042987823,0.7327515314437908,0.28977430555555556,0.18333333333333332
45,22.875300004670862,3.1668999945395626,0.18002963066101074,0.05347222089767456,0.06391837447881699,0.17970788478851318,0.31511947224597064,0.5905902777777777,0.0763888888888889
46,22.619299998041242,3.0261000065365806,0.15441522002220154,0.02064216323196888,0.056407757103443146,0.16047075390815735,0.09875701242909267,0.5027256944444445,0.06111111111111111
47,23.770200001308694,3.0533000026480295,0.1893640160560608,0.06836612522602081,0.07121583819389343,0.19606655836105347,0.2539066325351851,0.6455381944444445,0.10694444444444444
48,23.327000002609566,3.2942000034381635,0.1532042771577835,0.02909383550286293,0.05313451960682869,0.14946453273296356,0.18143197177295625,0.5203472222222222,0.04583333333333333
49,21.20459999423474,2.9214999958639964,0.12349393963813782,0.08360207080841064,0.04333166033029556,0.12701228260993958,0.6326665257325262,0.38895833333333335,0.09166666666666666
50,21.97359999991022,4.3634000030579045,0.11368267983198166,0.03114328347146511,0.03487833961844444,0.11153289675712585,0.2728283400603577,0.2862152777777778,0.0763888888888889
51,23.19549999810988,2.994599999510683,0.20540422201156616,0.6624404788017273,0.31909099221229553,0.5051942467689514,0.05282033761470286,0.5794618055555556,0.9472222222222222
52,23.083699998096563,2.9630999997607432,0.1873490810394287,0.11924679577350616,0.055973201990127563,0.18136437237262726,0.4130997238845835,0.6746006944444445,0.22916666666666666
53,22.56409999972675,3.0750000005355105,0.1903291940689087,0.040276531130075455,0.07521935552358627,0.19919711351394653,0.049315524226996685,0.6614756944444444,0.06111111111111111
54,23.757499999192078,3.1786000035936013,0.16299879550933838,0.03714920952916145,0.05605807900428772,0.158090278506279,0.11478502384126196,0.5798611111111112,0.0763888888888889
55,21.125300001585856,3.886200000124518,0.12962879240512848,0.04297339543700218,0.05383306369185448,0.13717833161354065,0.10267107362153557,0.39135416666666667,0.10694444444444444
56,22.294199996395037,3.071500002988614,0.13764221966266632,0.03822970390319824,0.060743458569049835,0.15143069624900818,0.028049260039115,0.42270833333333335,0.06111111111111111
57,27.28650000062771,3.3051999998860992,0.09064102172851562,0.0998753011226654,0.04539238661527634,0.1185964047908783,0.47042789722315714,0.29227430555555556,0.18333333333333332
58,24.358999995456543,3.4020000020973384,0.08163312077522278,0.07455746084451675,0.03311000391840935,0.09367837756872177,0.4170208928544003,0.18434027777777778,0.18333333333333332
59,28.44310000364203,3.1822999953874387,0.0966097041964531,0.04249751567840576,0.034329116344451904,0.10176695883274078,0.1623508010230969,0.24822916666666667,0.12222222222222222
60,21.84059999854071,3.1941999986884184,0.09817999601364136,0.044126953929662704,0.027515707537531853,0.091567762196064,0.30524462998674967,0.24215277777777777,0.12222222222222222
61,28.224599998793565,3.2624000014038756,0.07346593588590622,0.049460023641586304,0.024914631620049477,0.07818223536014557,0.29458933704044976,0.1490277777777778,0.10694444444444444
62,21.477399997820612,2.909499999077525,0.07515071332454681,0.06965522468090057,0.03415832668542862,0.09537152945995331,0.3909172554555549,0.14864583333333334,0.10694444444444444
63,28.941199998371303,3.7144000016269274,0.07779069989919662,0.07964222133159637,0.03315068408846855,0.09323671460151672,0.5453210896789545,0.18359375,0.12222222222222222
64,23.436399998900015,3.2146000012289733,0.0975143313407898,0.062385618686676025,0.028925137594342232,0.09251543134450912,0.4490628227305476,0.24746527777777777,0.10694444444444444
65,22.00299999822164,3.5812999994959682,0.110051728785038,0.06052865833044052,0.04388149827718735,0.11310909688472748,0.19925686653987124,0.27043402777777775,0.12222222222222222
66,22.010900000168476,3.350500002852641,0.11641501635313034,0.09428637474775314,0.054521165788173676,0.13306327164173126,0.30809773545127384,0.29430555555555554,0.16805555555555557
67,21.006599999964237,5.233299998508301,0.13495983183383942,0.08502638339996338,0.04407154396176338,0.12470214813947678,0.5032795748762783,0.36256944444444444,0.1527777777777778
68,26.67010000004666,3.879299998516217,0.09954597800970078,0.06325230002403259,0.039177779108285904,0.09974723309278488,0.3088088100498438,0.20053819444444446,0.1375
69,23.216599998704623,3.1039000023156404,0.1125909760594368,0.05734735727310181,0.040943969041109085,0.10394356399774551,0.39367749343143726,0.2542534722222222,0.12222222222222222
70,21.860599998035468,3.088099998421967,0.14314699172973633,0.11799585819244385,0.060573186725378036,0.15072031319141388,0.5428162032251372,0.42505208333333333,0.16805555555555557
71,25.567399999999907,4.772699998284224,0.19066214561462402,0.635388970375061,0.30056846141815186,0.4839803874492645,-0.14320397944093302,0.5313020833333333,0.9777777777777777
